Year,Tm,Lg,G,W,L,Ties,W-L%,pythW-L%,Finish,GB,Playoffs,R,RA,Attendance,BatAge,PAge,#Bat,#P,Top Player,Managers
2017,New York Mets,NL East,162,70,92,0,0.432,0.427,4th of 5,27,,735,863,2460622,28.9,27.5,52,29,J.deGrom (5.0),T.Collins (70-92)
2016,New York Mets,NL East,162,87,75,0,0.537,0.538,2nd of 5,8,Lost NLWC (1-0),671,617,2789602,29.5,28.4,46,22,N.Syndergaard (6.0),T.Collins (87-75)
2015,New York Mets,NL East,162,90,72,0,0.556,0.549,1st of 5,--,Lost WS (4-1),683,613,2569753,28.6,28.2,49,26,C.Granderson (5.1),T.Collins (90-72)
2014,New York Mets,NL East,162,79,83,0,0.488,0.508,2nd of 5,17,,629,618,2148808,28.4,28.9,45,22,J.Lagares (5.5),T.Collins (79-83)
2013,New York Mets,NL East,162,74,88,0,0.457,0.454,3rd of 5,22,,619,684,2135657,28.3,29.1,53,29,D.Wright (5.9),T.Collins (74-88)
2012,New York Mets,NL East,162,74,88,0,0.457,0.46,4th of 5,24,,650,709,2242803,27.9,30.3,49,28,D.Wright (7.0),T.Collins (74-88)
2011,New York Mets,NL East,162,77,85,0,0.475,0.485,4th of 5,25,,718,742,2352596,28,30,46,23,J.Reyes (4.7),T.Collins (77-85)
2010,New York Mets,NL East,162,79,83,0,0.488,0.503,4th of 5,18,,656,652,2559738,28.4,29.5,47,20,A.Pagan (5.3),J.Manuel (79-83)
2009,New York Mets,NL East,162,70,92,0,0.432,0.445,4th of 5,23,,671,757,3168571,29.5,29.2,53,24,A.Pagan (4.0),J.Manuel (70-92)
2008,New York Mets,NL East,162,89,73,0,0.549,0.551,2nd of 5,3,,799,715,4042045,30.1,29,50,24,J.Santana (7.1),W.Randolph (34-35) and J.Manuel (55-38)
2007,New York Mets,NL East,162,88,74,0,0.543,0.532,2nd of 5,1,,804,750,3853955,30.8,31.3,49,24,D.Wright (8.3),W.Randolph (88-74)
2006,New York Mets,NL East,162,97,65,0,0.599,0.56,1st of 5,--,Lost NLCS (4-3),834,731,3379535,30.2,32.2,49,27,C.Beltran (8.2),W.Randolph (97-65)
2005,New York Mets,NL East,162,83,79,0,0.512,0.549,3rd of 5,7,,722,648,2829929,28.8,31.9,42,22,P.Martinez (6.5),W.Randolph (83-79)
2004,New York Mets,NL East,162,71,91,0,0.438,0.47,4th of 5,25,,684,731,2318951,29.8,32.5,52,26,A.Leiter (4.7),A.Howe (71-91)
2003,New York Mets,NL East,161,66,95,0,0.41,0.427,5th of 5,34.5,,642,754,2140599,29.3,31.6,50,25,S.Trachsel (4.5),A.Howe (66-95)
2002,New York Mets,NL East,161,75,86,0,0.466,0.491,5th of 5,26.5,,690,703,2804838,30.6,30.3,48,25,E.Alfonzo (5.0),B.Valentine (75-86)
2001,New York Mets,NL East,162,82,80,0,0.506,0.452,3rd of 5,6,,642,713,2658330,30.5,31.1,44,22,M.Piazza (4.5),B.Valentine (82-80)
2000,New York Mets,NL East,162,94,68,0,0.58,0.541,2nd of 5,1,Lost WS (4-1),807,738,2820530,30.4,31,47,20,E.Alfonzo (6.4),B.Valentine (94-68)
1999,New York Mets,NL East,163,97,66,0,0.595,0.583,2nd of 5,6.5,Lost NLCS (4-2),853,711,2725668,30.1,32.7,45,23,R.Ventura (6.7),B.Valentine (97-66)
1998,New York Mets,NL East,162,88,74,0,0.543,0.541,2nd of 5,18,,706,645,2287948,28.9,31.7,49,19,J.Olerud (7.6),B.Valentine (88-74)
1997,New York Mets,NL East,162,88,74,0,0.543,0.542,3rd of 5,13,,777,709,1766174,27.3,29.4,45,21,E.Alfonzo (6.2),B.Valentine (88-74)
1996,New York Mets,NL East,162,71,91,0,0.438,0.48,4th of 5,25,,746,779,1588323,27.2,27.4,40,17,B.Gilkey (8.0),D.Green (59-72) and B.Valentine (12-19)
1995,New York Mets,NL East,144,69,75,0,0.479,0.528,2nd of 5,21,,657,618,1273183,27.4,27.2,45,22,J.Kent (3.2),D.Green (69-75)
1994,New York Mets,NL East,113,55,58,0,0.487,0.482,3rd of 5,18.5,,506,526,1151471,27.8,28.6,37,18,B.Saberhagen (5.7),D.Green (55-58)
1993,New York Mets,NL East,162,59,103,0,0.364,0.454,7th of 7,38,,672,744,1873183,29.4,29.2,41,19,D.Gooden (4.2),J.Torborg (13-25) and D.Green (46-78)
1992,New York Mets,NL East,162,72,90,0,0.444,0.461,5th of 6,24,,599,653,1779534,30,28.2,44,19,S.Fernandez (6.3),J.Torborg (72-90)
